Organization,Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
Havard,TRAINING IN BIOINFORMATICS AND INTEGRATIVE GENOMICS,NHGRI,8729396,5T32HG002295-12,5,T32,HG,2295,12,,,8644899,"PARK, PETER J",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,1,
Havard,SUBSTANCE ABUSE AT THE SCHIZOPHRENIA INTERNATIONAL RESEARCH CONGRESS,NIDA,8650549,1R13DA036925-01,1,R13,DA,36925,1,,,1893427,"DELISI, LYNN ELEANOR",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,10000,
Havard,16TH IMS NEW RESEARCHERS CONFERENCE,NCI,8785919,1R13CA189533-01,1,R13,CA,189533,1,,,9834897,"AIROLDI, EDOARDO MARIA",Not Applicable,HARVARD UNIVERSITY, ,2014,15000,
Havard,CONFERENCES ON EMERGING STATISTICAL ISSUES IN BIOMEDICAL RESEARCH,NCI,8723063,5R13CA124365-09,5,R13,CA,124365,9,,,7043086,"LIN, XIHONG ",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,25000,
Havard,ENDOCANNABINOID SIGNALING IN ALCOHOL INDUCED HEPATIC STEATOSIS,NIAAA,8724162,5F31AA022548-02,5,F31,AA,22548,2,,,11541632,"LIU, LEAH YU",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,30020,
Havard,MTORC1 REGULATION BY AMINO ACIDS,NCI,8753923,5F31CA173942-02,5,F31,CA,173942,2,,,10718089,"BUEL, GWEN ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,30027,
Havard,SMO INHIBITOR RESISTANCE IN SHH-SUBTYPE MEDULLOBLASTOMA: MECHANISMS AND TREATMENT,NCI,8642450,1F31CA183145-01,1,F31,CA,183145,1,,,10780539,"PAK, EKATERINA ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,30027,
Havard,MODULATION OF SENSORY REPRESENTATIONS IN THE VENTRAL STRIATUM,NIDA,8644503,1F31DA036922-01,1,F31,DA,36922,1,,,11681205,"PASHKOVSKI, STANISLAV ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,30027,
Havard,REGULATION OF FEEDFORWARD RETINOGENICULATE DEVELOPMENT BY CORTICAL FEEDBACK,NINDS,8652838,5F31NS083437-02,5,F31,NS,83437,2,,,11329289,"THOMPSON, ANDREW D.",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,30027,
Havard,PROBING THE ROLE OF TIM-4 IN CROSS-PRESENTATION OF TUMOR-ASSOCIATED ANTIGENS,NCI,8699727,5F31CA171339-03,5,F31,CA,171339,3,,,10357218,"LOUGHHEAD, SCOTT ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,30034,
Havard,MITOCHONDRIAL HOMEOSTASIS IN METABOLICALLY DISTINCT SUBSETS OF B-CELL LYMPHOMA,NCI,8718784,5F31CA171400-03,5,F31,CA,171400,3,,,11158254,"STANLEY, ILLANA ALLAKE",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,30034,
Havard,THE BIOCHEMICAL CONTRIBUTIONS OF OVULATION TO FALLOPIAN TUBE TUMORIGENESIS,NCI,8643405,1F31CA176995-01A1,1,F31,CA,176995,1,A1,,11117893,"FREELAND, MEGAN MARIE",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,30080,
Havard,GENOMIC AND FUNCTIONAL DISSECTION OF GTPASE-MUTANT MELANOMA,NCI,8737729,5F31CA171320-02,5,F31,CA,171320,2,,,10781750,"PLACE, CHELSEA SCHWARTZ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,30082,
Havard,BEHAVIORAL MEASURES OF ONGOING PAIN IN RODENTS,NINDS,8783193,1F31NS084716-01A1,1,F31,NS,84716,1,A1,,10786871,"ROBERSON, DAVID P",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,30082,
Havard,INTERROGATING THE NEURAL REPRESENTATIONS OF INNATELY AVERSIVE PREDATOR ODORS,NIDCD,8782991,1F31DC013696-01A1,1,F31,DC,13696,1,A1,,11676220,"TAN, TARALYN MARIE",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,30082,
Havard,CHARACTERIZING CENTRAL AUDITORY NEURONS IN DROSOPHILA MELANOGASTER,NIDCD,8705252,5F31DC013220-02,5,F31,DC,13220,2,,,11378957,"BAKER, ALLISON E.",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,30089,
Havard,REGULATION OF PACEMAKING AND BURSTING OF SUBSTANTIA NIGRA DOPAMINE NEURONS BY CAL,NINDS,8675295,5F31NS080323-03,5,F31,NS,80323,3,,,10514458,"KIMM, CYNTHIA N",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,30089,
Havard,AGING AND CARDIOPROTECTION BY SKELETAL MUSCLE PGC-1ALPHA IN ENDURANCE EXERCISE,NIA,8707924,5F31AG041598-03,5,F31,AG,41598,3,,,10775536,"LIU, LAURA XIAOFEI-ROSE",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,30089,
Havard,ROLE OF THE TRANSCRIPTION FACTOR CDX2 IN INTESTINAL STEM CELLS,NCI,8653426,5F31CA180784-02,5,F31,CA,180784,2,,,10300777,"SAN ROMAN, ADRIANNA K",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,30089,
Havard,ANALYSIS OF PANCREATIC ??-CELL SURVIVAL IN LONG-LASTING TYPE 1 DIABETES PATIENTS,NIDDK,8739021,5F31DK098931-02,5,F31,DK,98931,2,,,10872905,"VALDEZ, IVAN ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,30089,
