Symbol,Date,Open,High,Low,Close,Adj Close,Volume
F,2017-02-02,12.3,12.37,12.23,12.28,11.532344,29035400
F,2017-02-03,12.42,12.62,12.39,12.56,11.795297,38245300
F,2017-02-06,12.55,12.62,12.46,12.52,11.757731,26916800
F,2017-02-07,12.5,12.52,12.31,12.34,11.588691,32914400
F,2017-02-08,12.34,12.45,12.27,12.38,11.626256,26411400
F,2017-02-09,12.38,12.47,12.35,12.38,11.626256,32924600
F,2017-02-10,12.44,12.51,12.37,12.51,11.748339999999999,32996500
F,2017-02-13,12.54,12.62,12.48,12.56,11.795297,24474000
F,2017-02-14,12.64,12.7,12.59,12.65,11.879816,28320000
F,2017-02-15,12.62,12.64,12.55,12.63,11.861034,25114400
F,2017-02-16,12.61,12.64,12.48,12.54,11.776514,22896500
F,2017-02-17,12.5,12.58,12.42,12.58,11.814078,26407400
F,2017-02-21,12.61,12.72,12.61,12.69,11.91738,29156200
F,2017-02-22,12.66,12.77,12.65,12.67,11.898599,24787500
F,2017-02-23,12.7,12.72,12.55,12.56,11.795297,22520600
F,2017-02-24,12.51,12.51,12.38,12.47,11.710775,40817300
F,2017-02-27,12.49,12.68,12.43,12.66,11.889208,41713100
F,2017-02-28,12.63,12.66,12.45,12.53,11.767122,36089800
F,2017-03-01,12.66,12.75,12.65,12.69,11.91738,36178600
F,2017-03-02,12.72,12.75,12.58,12.66,11.889208,33245100
F,2017-03-03,12.66,12.71,12.53,12.65,11.879816,30429200
F,2017-03-06,12.58,12.6,12.5,12.52,11.757731,28753600
F,2017-03-07,12.51,12.53,12.42,12.46,11.701385,25906900
F,2017-03-08,12.5,12.64,12.46,12.53,11.767122,27327800
F,2017-03-09,12.54,12.54,12.4,12.5,11.738949,29149100
F,2017-03-10,12.55,12.63,12.47,12.53,11.767122,34866100
F,2017-03-13,12.56,12.63,12.5,12.54,11.776514,22625800
F,2017-03-14,12.51,12.56,12.45,12.55,11.785905,26956700
F,2017-03-15,12.56,12.65,12.52,12.65,11.879816,34296200
F,2017-03-16,12.65,12.72,12.59,12.7,11.926772999999999,28954700
F,2017-03-17,12.74,12.74,12.45,12.48,11.720166,54929100
F,2017-03-20,12.48,12.49,12.25,12.28,11.532344,45329700
F,2017-03-21,12.3,12.32,11.7,11.72,11.006439,101559900
F,2017-03-22,11.72,11.83,11.62,11.77,11.053393,71107900
F,2017-03-23,11.57,11.75,11.5,11.67,10.959482000000001,71209300
F,2017-03-24,11.66,11.77,11.55,11.62,10.912527,43772400
F,2017-03-27,11.51,11.55,11.41,11.46,10.762267999999999,57713400
F,2017-03-28,11.51,11.8,11.48,11.65,10.9407,57662800
F,2017-03-29,11.73,11.76,11.64,11.68,10.968874000000001,35795700
F,2017-03-30,11.67,11.74,11.61,11.68,10.968874000000001,28008200
F,2017-03-31,11.66,11.68,11.6,11.64,10.93131,26717500
F,2017-04-03,11.64,11.64,11.28,11.44,10.743485,65671100
F,2017-04-04,11.38,11.48,11.28,11.37,10.677749,40068200
F,2017-04-05,11.48,11.5,11.25,11.26,10.574446,43316100
F,2017-04-06,11.27,11.36,11.22,11.27,10.583838,36165300
F,2017-04-07,11.26,11.31,11.21,11.23,10.546271,28874900
F,2017-04-10,11.26,11.35,11.24,11.25,10.565054,25857100
F,2017-04-11,11.27,11.28,11.17,11.28,10.593227,36366300
F,2017-04-12,11.27,11.3,11.2,11.23,10.546271,56588400
F,2017-04-13,11.22,11.25,11.11,11.11,10.433578,32789900
F,2017-04-17,11.22,11.3,11.14,11.28,10.593227,44731700
F,2017-04-18,11.15,11.18,11.08,11.14,10.602745,35660000
F,2017-04-19,11.19,11.28,11.17,11.19,10.650333,37524400
F,2017-04-20,11.25,11.5,11.24,11.47,10.916830000000001,49990200
F,2017-04-21,11.46,11.48,11.32,11.34,10.793099,26076200
F,2017-04-24,11.48,11.5,11.36,11.43,10.878759,41071300
F,2017-04-25,11.47,11.5,11.43,11.48,10.926347,35862500
F,2017-04-26,11.47,11.7,11.45,11.6,11.040561,51685800
F,2017-04-27,11.66,11.68,11.34,11.47,10.916830000000001,50203700
F,2017-04-28,11.51,11.51,11.4,11.47,10.916830000000001,41133000
F,2017-05-01,11.49,11.54,11.4,11.42,10.869242,32118400
F,2017-05-02,11.3,11.37,10.9,10.92,10.393353999999999,99514700
F,2017-05-03,10.92,11.09,10.91,11.07,10.53612,57290600
F,2017-05-04,11.09,11.11,10.96,11.0,10.469497,34639800
F,2017-05-05,11.01,11.16,10.98,11.14,10.602745,28926000
F,2017-05-08,11.18,11.24,11.09,11.13,10.593227,35561800
F,2017-05-09,11.14,11.26,11.1,11.16,10.621781,44142900
F,2017-05-10,11.16,11.2,11.03,11.04,10.507567,34989300
F,2017-05-11,11.04,11.07,10.97,11.01,10.479014,29276300
F,2017-05-12,11.0,11.03,10.9,10.92,10.393353999999999,34264300
F,2017-05-15,10.96,11.03,10.92,10.94,10.412391,27359500
F,2017-05-16,11.06,11.07,10.9,10.94,10.412391,42130200
F,2017-05-17,10.94,10.95,10.67,10.76,10.241073,54670100
F,2017-05-18,10.73,10.82,10.7,10.79,10.269625,37890800
F,2017-05-19,10.81,10.94,10.79,10.87,10.345766000000001,32431700
F,2017-05-22,11.11,11.13,10.98,11.1,10.564672999999999,73335000
F,2017-05-23,11.16,11.17,10.97,11.05,10.517085,40816600
F,2017-05-24,11.06,11.06,10.87,10.96,10.431426,46638800
F,2017-05-25,10.96,10.97,10.76,10.86,10.336248,46269200
F,2017-05-26,10.85,10.95,10.81,10.93,10.402872,28176500
F,2017-05-30,11.0,11.12,10.99,11.08,10.545638,36082600
F,2017-05-31,11.12,11.13,11.0,11.12,10.583708999999999,36398700
F,2017-06-01,11.25,11.54,11.1,11.41,10.859722999999999,76707200
F,2017-06-02,11.42,11.43,11.24,11.35,10.802617,45925000
F,2017-06-05,11.36,11.36,11.23,11.25,10.70744,42558600
F,2017-06-06,11.19,11.2,11.05,11.12,10.583708999999999,44543700
F,2017-06-07,11.16,11.19,11.02,11.07,10.53612,37344200
F,2017-06-08,11.07,11.1,10.91,11.1,10.564672999999999,40654000
F,2017-06-09,11.09,11.15,11.01,11.13,10.593227,30285900
F,2017-06-12,11.13,11.36,11.13,11.28,10.735992,38473100
F,2017-06-13,11.32,11.35,11.15,11.27,10.726476,29889300
F,2017-06-14,11.27,11.29,11.06,11.22,10.678887,44367900
F,2017-06-15,11.15,11.29,11.14,11.24,10.697923,28431600
F,2017-06-16,11.24,11.24,11.07,11.22,10.678887,54035400
F,2017-06-19,11.2,11.28,11.18,11.24,10.697923,30540900
F,2017-06-20,11.21,11.22,11.09,11.12,10.583708999999999,31971500
F,2017-06-21,11.15,11.15,11.0,11.04,10.507567,37002500
F,2017-06-22,11.02,11.18,11.0,11.13,10.593227,26972800
F,2017-06-23,11.1,11.13,11.0,11.04,10.507567,45190200
F,2017-06-26,11.06,11.2,11.06,11.18,10.640817,31316800
F,2017-06-27,11.17,11.2,11.06,11.08,10.545638,28491600
F,2017-06-28,11.11,11.17,11.07,11.09,10.555156,31820000
F,2017-06-29,11.13,11.2,11.07,11.17,10.631299,32917000
F,2017-06-30,11.18,11.28,11.16,11.19,10.650333,41075000
F,2017-07-03,11.36,11.69,11.25,11.56,11.00249,43949600
F,2017-07-05,11.51,11.56,11.26,11.3,10.755028999999999,39412200
F,2017-07-06,11.29,11.36,11.17,11.18,10.640817,31936000
F,2017-07-07,11.21,11.28,11.16,11.26,10.716958,20871800
F,2017-07-10,11.24,11.35,11.23,11.34,10.793099,18881300
F,2017-07-11,11.31,11.43,11.3,11.38,10.83117,25914300
F,2017-07-12,11.41,11.62,11.4,11.47,10.916830000000001,33088200
F,2017-07-13,11.46,11.69,11.45,11.6,11.040561,33650800
F,2017-07-14,11.65,11.73,11.6,11.68,11.116703,39792200
F,2017-07-17,11.71,11.75,11.65,11.74,11.173808,24394200
F,2017-07-18,11.72,11.75,11.67,11.75,11.183326,24625200
F,2017-07-19,11.76,11.83,11.74,11.83,11.259466999999999,26225900
F,2017-07-20,11.69,11.78,11.66,11.7,11.278748,30315100
F,2017-07-21,11.59,11.62,11.46,11.53,11.114868,27630600
F,2017-07-24,11.51,11.55,11.27,11.29,10.883510000000001,48123400
F,2017-07-25,11.3,11.38,11.22,11.27,10.864230000000001,52854300
F,2017-07-26,11.14,11.16,10.95,11.06,10.661792,72271700
F,2017-07-27,11.08,11.2,11.03,11.18,10.777471,38687500
F,2017-07-28,11.15,11.22,11.06,11.17,10.76783,24864100
