Name,Number of Publications
"AHMAD, KAMRAN",0
"AIROLDI, EDOARDO",25
"ARLOTTA, PAOLA",47
"ARLOTTA, PAOLA",47
"ARTAVANIS-TSAKONAS, SPYRIDON",0
"ASCHERIO, ALBERTO",180
"ASSAD, JOHN",24
"BACCARELLI, ANDREA",199
"BACCARELLI, ANDREA",199
"BANGHART, MATTHEW",6
"BARON, ROLAND",67
"BENDER, WELCOME",6
"BENOIST, CHRISTOPHE",147
"BERKMAN, LISA",107
"BERNHARDT, THOMAS",35
"BERNHARDT, THOMAS",35
"BETANCOURT, THERESA",81
"BETLEY, THEODORE",31
"BIEWENER, ANDREW",61
"BLACKLOW, STEPHEN",70
"BLOOM, DAVID",53
"BLOOM, DAVID",53
"BONDS, MATTHEW",14
"BORN, RICHARD",27
"BOYD, DANA",28
"BRUGGE, JOAN",87
"BUCKEE, CAROLINE",37
"BURATOWSKI, STEPHEN",58
"CABAN-MARTINEZ, ALBERTO",20
"CAI, TIANXI",101
"CALARCO, JOHN",14
"CANNING, DAVID",37
"CATTERUCCIA, FLAMINIA",17
"CEPKO, CONSTANCE",79
"CHOU, JAMES",52
"CHRISTIANI, DAVID",382
"CHURCH, GEORGE",252
"CHURCHMAN, LEE",0
"CLARDY, JON",151
"CLARDY, JON",151
"CLAUS HENN, BIRGIT",14
"COEN, DONALD",87
"COEN, DONALD",87
"COLAIACOVO, MONICA",39
"COREY, DAVID",47
"CORNELIS, MARILYN",55
"COWAN, CHAD",50
"DATTA, SANDEEP",15
"DAVAASAMBUU, GANMAA",1
"DELISI, LYNN",37
"DENIC, VLADIMIR",14
"DESAI, MICHAEL",34
"DOCKERY, DOUGLAS",51
"DONG, MIN",14
"DORF, MARTIN",22
"DULAC, CATHERINE",34
"DURAISINGH, MANOJ",75
"DYMECKI, SUSAN",31
"DYMECKI, SUSAN",31
"EGGAN, KEVIN",72
"ENGERT, FLORIAN",37
"ENGERT, FLORIAN",37
"ESSEX, MYRON",9
"ESVELT, KEVIN",19
"EXTAVOUR, CASSANDRA",48
"EYAL, NIR",31
"FARESE, ROBERT",25
"FARESE, ROBERT",25
"FAWZI, WAFAIE",239
"FAWZI, WAFAIE",239
"FINLEY, DANIEL",57
"FISHER, HEIDI",5
"FLANAGAN, JOHN",20
"FONTANA, WALTER",12
"FORTIER, CATHERINE",16
"FREDBERG, JEFFREY",91
"FREDBERG, JEFFREY",91
"GACK, MICHAELA",28
"GARNER, ETHAN",12
"GARRETT, WENDY",57
"GARSHICK, ERIC",46
"GAZIANO, THOMAS",42
"GELBART, WILLIAM",19
"GELLER, ALAN",91
"GINTY, DAVID",13
"GIRE, DAVID",4
"GOLAN, DAVID",36
"GOLDBERG, ALFRED",94
"GOLDSTEIN, EDWARD",25
"GOLOVCHENKO, JENE",18
"GOOD, BYRON",9
"GOODRICH, LISA",25
"GRANDJEAN, PHILIPPE",88
"GRAY, JESSE",15
"GREENBERG, MICHAEL",78
"GU, CHENGHUA",22
"GYGI, STEVEN",324
"GYGI, STEVEN",324
"HAIGIS, MARCIA",46
"HANAGE, WILLIAM",53
"HARPER, JEFFREY",0
"HARRISON, STEPHEN",126
"HARTL, DANIEL",131
"HARWELL, COREY",3
"HAUSER, RUSS",185
"HAUSER, RUSS",185
"HENSCH, TAKAO",29
"HERNANDEZ-DIAZ, SONIA",129
"HERRICK, ROBERT",40
"HIGGINS, DARREN",35
"HILL, ALISON",19
"HOCHSCHILD, ANN",39
"HOGGATT, JONATHAN",12
"HOGLE, JAMES",38
"HOOKER, CHRISTINE",31
"HOTAMISLIGIL, GOKHAN",104
"HOWE, ROBERT",62
"HOWLEY, PETER",44
"HSU, YA-CHIEH",7
"HU, FRANK",668
"HU, FRANK",668
"HUGHES, MICHAEL",74
"HUNTER, DAVID",464
"HUSKAMP, HAIDEN",100
"INTINI, GIUSEPPE",12
"IRIZARRY, RAFAEL",25
"JENA, ANUPAM",97
"JHA, ASHISH",175
"KAESER, PASCAL",11
"KALENDERIAN, ELSBETH",32
"KALINCHUK, ANNA",7
"KARPLUS, MARTIN",61
"KASPER, DENNIS",69
"KAUR, AMITINDER",32
"KAWACHI, ICHIRO",411
"KEATING, NANCY",172
"KELLEY, DAVID",8
"KHARCHENKO, PETER",45
"KIM, JANE",89
"KIRSCHNER, MARC",91
"KISHONY, ROY",53
"KLECKNER, NANCY",49
"KNIPE, DAVID",93
"KOBZIK, LESTER",81
"KOHANE, ISAAC",176
"KOLTER, ROBERTO",125
"KRAVITZ, EDWARD",28
"KRIEGER, NANCY",105
"KRUKENBERG, KRISTIN",5
"KRUPAT, EDWARD",35
"LAHAV, GALIT",36
"LAMONT, ELIZABETH",25
"LANDON, BRUCE",173
"LANGE, CHRISTOPH",110
"LANSKE, BEATE",56
"LASSAR, ANDREW",26
"LEE, CHIH-HAO",37
"LEE, WEI-CHUNG",5
"LERITZ, ELIZABETH",14
"LESCHZINER, ANDRES",9
"LIBERLES, STEPHEN",20
"LICHTMAN, JEFF",66
"LIN, XIHONG",111
"LIN, XIHONG",111
"LINDSTROEM, SARA",1
"LIPSITCH, MARC",166
"LIU, DAVID",142
"LIVINGSTONE, MARGARET",47
"LOK, JUDITH",14
"LORY, STEPHEN",44
"LOSICK, RICHARD",130
"LU, QUAN",27
"MAIR, WILLIAM",16
"MANGO, SUSAN",9
"MANNING, BRENDAN",67
"MAROOF, ASIF",5
"MARTI, MATTHIAS",32
"MATHIS, DIANE",150
"MATTEI, JOSIEMER",38
"MAUNSELL, JOHN",23
"MCCARLEY, ROBERT",185
"MCCARROLL, STEVEN",68
"MCGUIRE, THOMAS",57
"MEGASON, SEAN",25
"MEHROTRA, ATEEV",80
"MEISSNER, ALEXANDER",74
"MEKALANOS, JOHN",77
"MELTON, DOUGLAS",70
"MERKLE, FLORIAN",10
"MILNER, DANNY",54
"MITCHELL, JAMES",50
"MITCHISON, TIMOTHY",131
"MOAZED, DANESH",63
"MOONEY, DAVID",207
"MOONEY, DAVID",207
"MOSALIGANTI, KISHORE",9
"MURANEN, TARU",20
"MURRAY, MEGAN",109
"MURTHY, VENKATESH",78
"MUSUNURU, KIRAN",37
"NABAVI, SHEIDA",5
"NADLER, LEE",28
"NGUYEN, ANDREW",3
"NIZNIKIEWICZ, MARGARET",67
"NOCERA, DANIEL",67
"NORMAND, SHARON-LISE",145
"OLSEN, BJORN",82
"PAGANO, MARCELLO",37
"PALACIOS, NATALIA",10
"PANDE, ROHINI",0
"PARKER, KEVIN",75
"PATEL, CHIRAG",36
"PAULI, ANDREA",13
"PAULO, JOAO",73
"PAULSSON, JOHAN",29
"PERRIMON, NORBERT",197
"PETERSON, TIMOTHY",1
"PRICE, ALKES",75
"QI, LU",183
"RAJAN, AKHILA",5
"RAMANATHAN, SHARAD",15
"RAPOPORT, TOM",86
"RECK-PETERSON, SAMARA",20
"REED, ROBIN",36
"REEDE, JOAN",11
"REGEHR, WADE",70
"RIMM, ERIC",387
"RINN, JOHN",76
"RITTER, TOBIAS",59
"RITTER, TOBIAS",59
"ROBINS, JAMES",63
"ROSEN, VICKI",36
"ROWE, MEREDITH",19
"ROWLEY, CHRISTOPHER",8
"RUBIN, ERIC",90
"RUDNER, DAVID",49
"SABATINI, BERNARDO",81
"SACKS, FRANK",127
"SALIC, ADRIAN",20
"SALOMON, JOSHUA",102
"SAMUEL, MELANIE",3
"SANES, JOSHUA",80
"SANKARARAMAN, SRIRAM",15
